,Original Title,Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($)
0,Avatar,Avatar,"Dec 18, 2009",425000000,760507625,2776345279
1,The Dark Knight Rises,"Dark-Knight-Rises,-The","Jul 20, 2012",275000000,448139099,1084439099
2,The Avengers,"Avengers,-The","May 4, 2012",225000000,623279547,1517935897
3,Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,"Jul 7, 2006",225000000,423315812,1066215812
4,Men in Black 3,Men-in-Black-3,"May 25, 2012",215000000,179020854,654213485
5,King Kong,King-Kong,"Dec 14, 2005",207000000,218080025,550517357
6,Titanic,Titanic,"Dec 19, 1997",200000000,659363944,2208208395
7,Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,"May 5, 2017",200000000,389813101,862316233
8,Cars 2,Cars-2,"Jun 24, 2011",200000000,191450875,560155383
9,2012,2012,"Nov 13, 2009",200000000,166112167,788408539
10,Terminator Salvation,Terminator-Salvation,"May 21, 2009",200000000,125322469,365491792
11,The Mummy,"Mummy,-The","Jun 9, 2017",195000000,80101125,409953905
12,The Great Gatsby,"Great-Gatsby,-The","May 10, 2013",190000000,144840419,351040419
13,Thor: Ragnarok,Thor-Ragnarok,"Nov 3, 2017",180000000,315058289,846980024
14,Up,Up,"May 29, 2009",175000000,293004164,731463377
15,Coco,Coco,"Nov 22, 2017",175000000,209726015,798020225
16,G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,"Aug 7, 2009",175000000,150201498,302469017
17,Wild Wild West,Wild-Wild-West,"Jun 30, 1999",175000000,113805681,221229335
18,Snow White and the Huntsman,Snow-White-and-the-Huntsman,"Jun 1, 2012",170000000,155136755,401021746
19,How to Train Your Dragon,How-to-Train-Your-Dragon,"Mar 26, 2010",165000000,217581232,494870992
20,Interstellar,Interstellar,"Nov 5, 2014",165000000,188017894,666379375
21,Beauty and the Beast,Beauty-and-the-Beast,"Mar 17, 2017",160000000,504014165,1259199706
22,Shrek the Third,Shrek-the-Third,"May 17, 2007",160000000,322719944,807330936
23,Inception,Inception,"Jul 16, 2010",160000000,292576195,832402082
24,Godzilla,Godzilla,"May 16, 2014",160000000,200676069,529076069
25,The Curious Case of Benjamin Button,"Curious-Case-of-Benjamin-Button,-The","Dec 25, 2008",160000000,127509326,329631958
26,War for the Planet of the Apes,War-for-the-Planet-of-the-Apes,"Jul 14, 2017",152000000,146880162,489592267
27,Frozen,Frozen,"Nov 22, 2013",150000000,400738009,1272469910
28,Zootopia,Zootopia,"Mar 4, 2016",150000000,341268248,1019704348
29,The Matrix Reloaded,"Matrix-Reloaded,-The","May 15, 2003",150000000,281553689,738576929
30,Hancock,Hancock,"Jul 1, 2008",150000000,227946274,624234272
31,Thor,Thor,"May 6, 2011",150000000,181030624,449326618
32,X-Men Origins: Wolverine,X-Men-Origins-Wolverine,"May 1, 2009",150000000,179883157,374825760
33,Angels & Demons,Angels-&-Demons,"May 15, 2009",150000000,133375846,490875846
34,How to Train Your Dragon 2,How-to-Train-Your-Dragon-2,"Jun 13, 2014",145000000,177002924,614586270
35,Rise of the Guardians,Rise-of-the-Guardians,"Nov 21, 2012",145000000,103412758,306900902
36,Ghostbusters,Ghostbusters,"Jul 15, 2016",144000000,128350574,229008658
37,Star Trek,Star-Trek,"May 8, 2009",140000000,257730019,386839614
38,Armageddon,Armageddon,"Jul 1, 1998",140000000,201578182,554600000
39,The Last Samurai,"Last-Samurai,-The","Dec 5, 2003",140000000,111110575,456810575
40,Spider-Man,Spider-Man,"May 3, 2002",139000000,403706375,821706375
41,Watchmen,Watchmen,"Mar 6, 2009",138000000,107509799,186976250
42,The Croods,"Croods,-The","Mar 22, 2013",135000000,187168425,573068425
43,The Revenant,"Revenant,-The","Dec 25, 2015",135000000,183637894,532938302
44,Miami Vice,Miami-Vice,"Jul 28, 2006",135000000,63478838,163818556
45,War of the Worlds,War-of-the-Worlds,"Jun 29, 2005",132000000,234280354,606836535
46,The Bourne Ultimatum,"Bourne-Ultimatum,-The","Aug 3, 2007",130000000,227471070,444043396
47,Kung Fu Panda,Kung-Fu-Panda,"Jun 6, 2008",130000000,215434591,631910531
48,Megamind,Megamind,"Nov 5, 2010",130000000,148415853,321887208
49,Logan,Logan,"Mar 3, 2017",127000000,226277068,615461394
50,Clash of the Titans,Clash-of-the-Titans,"Apr 1, 2010",125000000,163214888,493214888
51,Prometheus,Prometheus,"Jun 8, 2012",125000000,126477084,402448265
52,Total Recall,Total-Recall,"Aug 3, 2012",125000000,58877969,211856088
53,Life of Pi,Life-of-Pi,"Nov 21, 2012",120000000,124987022,607258634
54,Ghost Rider,Ghost-Rider,"Feb 16, 2007",120000000,115802596,229545589
55,Oblivion,Oblivion,"Apr 19, 2013",120000000,89107235,287916633
56,Fantastic Four,Fantastic-Four,"Aug 7, 2015",120000000,56117548,167849187
57,Speed Racer,Speed-Racer,"May 9, 2008",120000000,43945766,93394462
58,The Island,"Island,-The","Jul 22, 2005",120000000,35818913,163018913
59,Gravity,Gravity,"Oct 4, 2013",110000000,274092705,693698673
60,Ocean's Twelve,Ocean's-Twelve,"Dec 10, 2004",110000000,125531634,362989076
61,Tomorrow Never Dies,Tomorrow-Never-Dies,"Dec 19, 1997",110000000,125304276,339504276
62,The Patriot,"Patriot,-The","Jun 28, 2000",110000000,113330342,215300000
63,Ali,Ali,"Dec 25, 2001",109000000,58183966,87683966
64,The Martian,"Martian,-The","Oct 2, 2015",108000000,228433663,655271443
65,"I, Robot","I,-Robot","Jul 16, 2004",105000000,144801023,348629585
66,Gone in 60 Seconds,Gone-in-60-Seconds,"Jun 9, 2000",103300000,101643008,232643008
67,Gladiator,Gladiator,"May 5, 2000",103000000,187683805,457683805
68,Public Enemies,Public-Enemies,"Jul 1, 2009",102500000,97104620,212282709
69,Django Unchained,Django-Unchained,"Dec 25, 2012",100000000,162805434,449948323
70,True Lies,True-Lies,"Jul 15, 1994",100000000,146282411,365300000
71,American Gangster,American-Gangster,"Nov 2, 2007",100000000,130164645,267985456
72,The Wolf of Wall Street,"Wolf-of-Wall-Street,-The","Dec 25, 2013",100000000,116900694,389870414
73,The Tourist,"Tourist,-The","Dec 10, 2010",100000000,67631157,278731369
74,Starship Troopers,Starship-Troopers,"Nov 7, 1997",100000000,54768952,121100000
75,Point Break,Point-Break,"Dec 25, 2015",100000000,28782481,126704591
76,Gangs of New York,Gangs-of-New-York,"Dec 20, 2002",97000000,77730500,183124621
77,The Fifth Element,"Fifth-Element,-The","May 9, 1997",95000000,63570862,263898761
78,Finding Nemo,Finding-Nemo,"May 30, 2003",94000000,380529370,936429370
79,Rise of the Planet of the Apes,Rise-of-the-Planet-of-the-Apes,"Aug 5, 2011",93000000,176760185,470986200
80,The Secret Life of Walter Mitty,"Secret-Life-of-Walter-Mitty,-The","Dec 25, 2013",91000000,58236838,187861183
81,Men in Black,Men-in-Black,"Jul 1, 1997",90000000,250690539,587790539
82,Rush Hour 2,Rush-Hour-2,"Aug 3, 2001",90000000,226164286,347425832
83,Sherlock Holmes,Sherlock-Holmes,"Dec 25, 2009",90000000,209028679,498438212
84,What Lies Beneath,What-Lies-Beneath,"Jul 21, 2000",90000000,155464351,288693989
85,The Departed,"Departed,-The","Oct 6, 2006",90000000,132384315,289660619
86,Charlie's Angels,Charlie's-Angels,"Nov 3, 2000",90000000,125305545,259736090
87,Mulan,Mulan,"Jun 19, 1998",90000000,120620254,303500000
88,Tropic Thunder,Tropic-Thunder,"Aug 13, 2008",90000000,110515313,191145256
89,The Girl with the Dragon Tattoo,"Girl-with-the-Dragon-Tattoo,-The","Dec 20, 2011",90000000,102515793,239373970
90,Valkyrie,Valkyrie,"Dec 25, 2008",90000000,83107829,203932174
91,Hollow Man,Hollow-Man,"Aug 4, 2000",90000000,73209340,191200000
92,The Saint,"Saint,-The","Apr 4, 1997",90000000,61363304,169400000
93,Mission to Mars,Mission-to-Mars,"Mar 10, 2000",90000000,60874615,106000000
94,Conan the Barbarian,Conan-the-Barbarian,"Aug 19, 2011",90000000,21295021,63356133
95,The Three Musketeers,"Three-Musketeers,-The","Oct 21, 2011",90000000,20377913,139877913
96,Hannibal,Hannibal,"Feb 9, 2001",87000000,165092266,350100280
97,Cast Away,Cast-Away,"Dec 22, 2000",85000000,233632142,427230516
98,Happy Feet,Happy-Feet,"Nov 17, 2006",85000000,198000317,385000317
99,Ocean's Eleven,Ocean's-Eleven,"Dec 7, 2001",85000000,183417150,450728529
100,It's Complicated,It's-Complicated,"Dec 25, 2009",85000000,112735375,224614744
101,Meet Joe Black,Meet-Joe-Black,"Nov 13, 1998",85000000,44650003,44650003
102,Collateral Damage,Collateral-Damage,"Feb 8, 2002",85000000,40048332,78353508
103,Judge Dredd,Judge-Dredd,"Jun 30, 1995",85000000,34687912,113487912
104,Bruce Almighty,Bruce-Almighty,"May 23, 2003",81000000,242704995,484468608
105,Mission: Impossible,Mission-Impossible,"May 21, 1996",80000000,180981886,457697994
106,Something's Gotta Give,Something's-Gotta-Give,"Dec 12, 2003",80000000,124685242,266685242
107,Eagle Eye,Eagle-Eye,"Sep 26, 2008",80000000,101440743,180585259
108,Cold Mountain,Cold-Mountain,"Dec 25, 2003",80000000,95632614,165173909
109,The Book of Eli,"Book-of-Eli,-The","Jan 15, 2010",80000000,94835059,158750817
110,The Haunting,"Haunting,-The","Jul 23, 1999",80000000,91188905,180188905
111,The Day the Earth Stood Still,"Day-the-Earth-Stood-Still,-The","Dec 12, 2008",80000000,79366978,237370350
112,Swordfish,Swordfish,"Jun 8, 2001",80000000,69772969,147080413
113,The Manchurian Candidate,"Manchurian-Candidate,-The","Jul 30, 2004",80000000,65948711,96148711
114,The Time Machine,"Time-Machine,-The","Mar 8, 2002",80000000,56684819,98983590
115,Mighty Joe Young,Mighty-Joe-Young,"Dec 25, 1998",80000000,50632037,50632037
116,Little Nicky,Little-Nicky,"Nov 10, 2000",80000000,39442871,58270391
117,Surrogates,Surrogates,"Sep 25, 2009",80000000,38577772,119668350
118,Thirteen Days,Thirteen-Days,"Dec 22, 2000",80000000,34566746,66554547
119,Nine,Nine,"Dec 18, 2009",80000000,19676965,53508858
120,The Postman,"Postman,-The","Dec 25, 1997",80000000,17650704,20841123
121,Red Planet,Red-Planet,"Nov 10, 2000",80000000,17480890,33463969
122,The Lion King,"Lion-King,-The","Jun 15, 1994",79300000,421785283,986214868
123,Despicable Me 2,Despicable-Me-2,"Jul 3, 2013",76000000,368065385,975216835
124,Wanted,Wanted,"Jun 27, 2008",75000000,134508551,342416460
125,The Rock,"Rock,-The","Jun 7, 1996",75000000,134069511,336069511
126,Constantine,Constantine,"Feb 18, 2005",75000000,75976178,221594911
127,Life,Life,"Apr 16, 1999",75000000,64062587,73521587
128,Spanglish,Spanglish,"Dec 17, 2004",75000000,42044321,54344321
129,Hostage,Hostage,"Mar 11, 2005",75000000,34636443,77636443
130,Soldier,Soldier,"Oct 23, 1998",75000000,14623082,14623082
131,Monkeybone,Monkeybone,"Feb 23, 2001",75000000,5409517,5409517
132,Unbreakable,Unbreakable,"Nov 22, 2000",73243106,94999143,248099143
133,Sphere,Sphere,"Feb 13, 1998",73000000,37068294,50168294
134,Funny People,Funny-People,"Jul 31, 2009",72500000,51855045,71880305
135,The Kingdom,"Kingdom,-The","Sep 28, 2007",72500000,47467250,86509602
136,Braveheart,Braveheart,"May 24, 1995",72000000,75545647,209045244
137,Signs,Signs,"Aug 2, 2002",70702619,227969295,408269295
138,Runaway Bride,Runaway-Bride,"Jul 30, 1999",70000000,152257509,310138178
139,xXx,xXx,"Aug 9, 2002",70000000,141930000,267200000
140,Inglourious Basterds,Inglourious-Basterds,"Aug 21, 2009",70000000,120774594,316915264
141,Die Hard 2,Die-Hard-2,"Jul 3, 1990",70000000,117323878,239814025
142,Sleepy Hollow,Sleepy-Hollow,"Nov 19, 1999",70000000,101068340,207068340
143,Vanilla Sky,Vanilla-Sky,"Dec 14, 2001",70000000,100614858,202726605
144,Battle: Los Angeles,Battle-Los-Angeles,"Mar 11, 2011",70000000,83552429,213463976
145,War Horse,War-Horse,"Dec 25, 2011",70000000,79883359,156815529
146,Big Fish,Big-Fish,"Dec 10, 2003",70000000,66432867,123954323
147,The Abyss,"Abyss,-The","Aug 9, 1989",70000000,54243125,54243125
148,The Siege,"Siege,-The","Nov 6, 1998",70000000,40934175,116625798
149,Hard Rain,Hard-Rain,"Jan 16, 1998",70000000,19870567,19870567
150,Next,Next,"Apr 27, 2007",70000000,18211013,73591500
151,Hall Pass,Hall-Pass,"Feb 25, 2011",68000000,45060734,87173475
152,The Insider,"Insider,-The","Nov 5, 1999",68000000,28965197,60265197
153,Entrapment,Entrapment,"Apr 30, 1999",66000000,87707396,211700000
154,The X Files: Fight the Future,"X-Files-Fight-the-Future,-The","Jun 19, 1998",66000000,83898313,189176423
155,Saving Private Ryan,Saving-Private-Ryan,"Jul 24, 1998",65000000,216335085,485035085
156,What Women Want,What-Women-Want,"Dec 15, 2000",65000000,182805123,374105123
157,Lincoln,Lincoln,"Nov 9, 2012",65000000,182207973,273346281
158,The Matrix,"Matrix,-The","Mar 31, 1999",65000000,171479930,463517383
159,Les Miserables,Les-Miserables,"Dec 25, 2012",65000000,148809770,442169052
160,Cliffhanger,Cliffhanger,"May 28, 1993",65000000,84049211,255000000
161,Broken Arrow,Broken-Arrow,"Feb 9, 1996",65000000,70645997,148345997
162,Blade: Trinity,Blade-Trinity,"Dec 8, 2004",65000000,52397389,131353165
163,Fight Club,Fight-Club,"Oct 15, 1999",65000000,37030102,100851705
164,The Long Kiss Goodnight,"Long-Kiss-Goodnight,-The","Oct 11, 1996",65000000,33447612,33447612
165,Hudson Hawk,Hudson-Hawk,"May 24, 1991",65000000,17218916,17218916
166,Jurassic Park,Jurassic-Park,"Jun 11, 1993",63000000,395708305,1038812584
167,The American President,"American-President,-The","Nov 17, 1995",62000000,60022813,107822813
168,Wild Hogs,Wild-Hogs,"Mar 2, 2007",60000000,168213584,253555383
169,Marley & Me,Marley-&-Me,"Dec 25, 2008",60000000,143153751,247812011
170,The Green Mile,"Green-Mile,-The","Dec 10, 1999",60000000,136801374,290701374
171,The Truman Show,"Truman-Show,-The","Jun 5, 1998",60000000,125618201,264118201
172,The Bourne Identity,"Bourne-Identity,-The","Jun 14, 2002",60000000,121468960,214357371
173,The Italian Job,"Italian-Job,-The","May 30, 2003",60000000,106126012,176262839
174,Antz,Antz,"Oct 2, 1998",60000000,90757863,152457863
175,The Family Man,"Family-Man,-The","Dec 22, 2000",60000000,75764085,124715863
176,The Horse Whisperer,"Horse-Whisperer,-The","May 15, 1998",60000000,75383563,186883563
177,Coraline,Coraline,"Feb 6, 2009",60000000,75286229,126037057
178,Hellboy,Hellboy,"Apr 2, 2004",60000000,59623958,99823958
179,ParaNorman,ParaNorman,"Aug 17, 2012",60000000,56003051,108119662
180,The Boxtrolls,"Boxtrolls,-The","Sep 26, 2014",60000000,50837305,111946251
181,Alien: Resurrection,Alien-Resurrection,"Nov 26, 1997",60000000,47795018,160700000
182,Year One,Year-One,"Jun 19, 2009",60000000,43337279,57604723
183,Star Trek: Nemesis,Star-Trek-Nemesis,"Dec 13, 2002",60000000,43254409,67312826
184,Invictus,Invictus,"Dec 11, 2009",60000000,37491364,124514011
185,Intolerable Cruelty,Intolerable-Cruelty,"Oct 10, 2003",60000000,35327628,121327628
186,The Relic,"Relic,-The","Jan 10, 1997",60000000,33956608,33956608
187,Analyze That,Analyze-That,"Dec 6, 2002",60000000,32122249,54994757
188,Priest,Priest,"May 13, 2011",60000000,29136626,84154026
189,Event Horizon,Event-Horizon,"Aug 15, 1997",60000000,26673242,26673242
190,The Black Dahlia,"Black-Dahlia,-The","Sep 15, 2006",60000000,22672813,49238525
191,Deadpool,Deadpool,"Feb 12, 2016",58000000,363070709,801025593
192,American Sniper,American-Sniper,"Dec 25, 2014",58000000,350126372,547326372
193,Sex and the City,Sex-and-the-City,"May 30, 2008",57500000,152647258,415247258
194,Devil's Advocate,Devil's-Advocate,"Oct 17, 1997",57000000,61007424,153007424
195,Into the Woods,Into-the-Woods,"Dec 25, 2014",56200000,128002372,213116401
196,The Pacifier,"Pacifier,-The","Mar 4, 2005",56000000,113006880,198006880
197,Walking Tall,Walking-Tall,"Apr 2, 2004",56000000,46213824,47313824
198,Forrest Gump,Forrest-Gump,"Jul 6, 1994",55000000,330151138,679850637
199,Date Night,Date-Night,"Apr 9, 2010",55000000,98711404,152269033
200,Alien 3,Alien-3,"May 22, 1992",55000000,54927174,158500000
201,Ronin,Ronin,"Sep 25, 1998",55000000,41610884,70692101
202,Burlesque,Burlesque,"Nov 24, 2010",55000000,39440655,90552675
203,The Ghost and the Darkness,"Ghost-and-the-Darkness,-The","Oct 11, 1996",55000000,38564422,38564422
204,Changeling,Changeling,"Oct 24, 2008",55000000,35739802,113805580
205,Semi-Pro,Semi-Pro,"Feb 29, 2008",55000000,33479698,43980363
206,Elizabeth: The Golden Age,Elizabeth-The-Golden-Age,"Oct 12, 2007",55000000,16285240,74870866
207,All the King's Men,All-the-King's-Men,"Sep 22, 2006",55000000,7221458,9521458
208,Thunderbirds,Thunderbirds,"Jul 30, 2004",55000000,6768055,28231444
209,The Godfather: Part III,"Godfather-Part-III,-The","Dec 25, 1990",54000000,66520529,66520529
210,Law Abiding Citizen,Law-Abiding-Citizen,"Oct 16, 2009",53000000,73357727,131159781
211,Anastasia,Anastasia,"Nov 14, 1997",53000000,58403409,139801096
212,Beloved,Beloved,"Oct 16, 1998",53000000,22852487,22852487
213,Zero Dark Thirty,Zero-Dark-Thirty,"Dec 19, 2012",52500000,95720716,134612435
214,Casino,Casino,"Nov 22, 1995",52000000,42438300,110400000
215,The Change-Up,"Change-Up,-The","Aug 5, 2011",52000000,37243418,75997067
216,Man on the Moon,Man-on-the-Moon,"Dec 22, 1999",52000000,34580635,47407635
217,The Adjustment Bureau,"Adjustment-Bureau,-The","Mar 4, 2011",50200000,62495645,126931325
218,Shrek,Shrek,"May 18, 2001",50000000,267655011,491812794
219,Ted,Ted,"Jun 29, 2012",50000000,218665740,556016627
220,Robin Hood: Prince of Thieves,Robin-Hood-Prince-of-Thieves,"Jun 14, 1991",50000000,165493908,390500000
221,Jerry Maguire,Jerry-Maguire,"Dec 13, 1996",50000000,153952592,274000000
222,Super 8,Super-8,"Jun 10, 2011",50000000,127004179,257972745
223,Erin Brockovich,Erin-Brockovich,"Mar 17, 2000",50000000,125548685,257805243
224,Yes Man,Yes-Man,"Dec 19, 2008",50000000,97690976,225990976
225,"Crazy, Stupid, Love","Crazy,-Stupid,-Love","Jul 29, 2011",50000000,84351197,147142328
226,Moneyball,Moneyball,"Sep 23, 2011",50000000,75605492,111300835
227,V for Vendetta,V-for-Vendetta,"Mar 17, 2006",50000000,70511035,130214162
228,Syriana,Syriana,"Nov 23, 2005",50000000,50824620,92690959
229,Absolute Power,Absolute-Power,"Feb 14, 1997",50000000,50068310,50068310
230,The Game,"Game,-The","Sep 12, 1997",50000000,48265581,80369970
231,G.I. Jane,G.I.-Jane,"Aug 22, 1997",50000000,48169156,48169156
232,The Replacements,"Replacements,-The","Aug 11, 2000",50000000,44737059,50054511
233,Ninja Assassin,Ninja-Assassin,"Nov 25, 2009",50000000,38122883,62209892
234,Assassins,Assassins,"Oct 6, 1995",50000000,30306268,83306268
235,Defiance,Defiance,"Jan 16, 2009",50000000,28644813,52987754
236,Basic,Basic,"Mar 28, 2003",50000000,26599248,42598498
237,Gamer,Gamer,"Sep 4, 2009",50000000,20534907,42002029
238,The Life of David Gale,"Life-of-David-Gale,-The","Feb 21, 2003",50000000,19694635,28920188
239,Eastern Promises,Eastern-Promises,"Sep 14, 2007",50000000,17181265,56077088
240,Fair Game,Fair-Game,"Nov 3, 1995",50000000,11497497,26097497
241,Drive Angry,Drive-Angry,"Feb 25, 2011",50000000,10721033,41042583
242,Jade,Jade,"Oct 13, 1995",50000000,9812870,9812870
243,Death to Smoochy,Death-to-Smoochy,"Mar 29, 2002",50000000,8355815,8374062
244,Anna Karenina,Anna-Karenina,"Nov 16, 2012",49000000,12816367,71004627
245,Indiana Jones and the Last Crusade,Indiana-Jones-and-the-Last-Crusade,"May 24, 1989",48000000,197171806,474171806
246,Traffic,Traffic,"Dec 27, 2000",48000000,124107476,208300000
247,Panic Room,Panic-Room,"Mar 29, 2002",48000000,95308367,196308367
248,Three Kings,Three-Kings,"Oct 1, 1999",48000000,60652036,107752036
249,Out of Sight,Out-of-Sight,"Jun 26, 1998",48000000,37562568,77562568
250,Solaris,Solaris,"Nov 27, 2002",47000000,14970038,14970038
251,My Best Friend's Wedding,My-Best-Friend's-Wedding,"Jun 20, 1997",46000000,126813153,298923419
252,Star Trek: First Contact,Star-Trek-First-Contact,"Nov 22, 1996",46000000,92027888,150000000
253,Insomnia,Insomnia,"May 24, 2002",46000000,67263182,113622499
254,Courage Under Fire,Courage-Under-Fire,"Jul 12, 1996",46000000,59003384,100833145
255,Liar Liar,Liar-Liar,"Mar 21, 1997",45000000,181410615,302710615
256,The Flintstones,"Flintstones,-The","May 27, 1994",45000000,130531208,358500000
257,Training Day,Training-Day,"Oct 5, 2001",45000000,76261036,104505362
258,Blade,Blade,"Aug 21, 1998",45000000,70141876,131237688
259,The Bounty Hunter,"Bounty-Hunter,-The","Mar 19, 2010",45000000,67061228,135808837
260,Tin Cup,Tin-Cup,"Aug 16, 1996",45000000,53854588,75854588
261,The Hitchhiker's Guide to the Galaxy,"Hitchhiker's-Guide-to-the-Galaxy,-The","Apr 29, 2005",45000000,51019112,102746214
262,Cellular,Cellular,"Sep 10, 2004",45000000,32003620,61475984
263,Dune,Dune,"Dec 14, 1984",45000000,27447471,27447471
264,Revolutionary Road,Revolutionary-Road,"Dec 26, 2008",45000000,22951340,79604820
265,Frankenstein,Frankenstein,"Nov 4, 1994",45000000,22006296,112006296
266,Deep Rising,Deep-Rising,"Jan 30, 1998",45000000,11203026,11203026
267,Argo,Argo,"Oct 12, 2012",44500000,136025503,227140757
268,The Fugitive,"Fugitive,-The","Aug 6, 1993",44000000,183875760,353715317
269,The Mechanic,"Mechanic,-The","Jan 28, 2011",42500000,29121498,76347393
270,Notting Hill,Notting-Hill,"May 28, 1999",42000000,116089678,363728085
271,Red Riding Hood,Red-Riding-Hood,"Mar 11, 2011",42000000,37662162,91678442
272,15 Minutes,15-Minutes,"Mar 9, 2001",42000000,24375436,56331864
273,Lord of War,Lord-of-War,"Sep 16, 2005",42000000,24149632,60437727
274,The Proposal,"Proposal,-The","Jun 19, 2009",40000000,163958031,314709717
275,American Hustle,American-Hustle,"Dec 13, 2013",40000000,150117807,257878294
276,The Social Network,"Social-Network,-The","Oct 1, 2010",40000000,96962694,224922135
277,He's Just Not That Into You,He's-Just-Not-That-Into-You,"Feb 6, 2009",40000000,93953653,181053657
278,Scream 3,Scream-3,"Feb 4, 2000",40000000,89138076,161838076
279,The Talented Mr. Ripley,"Talented-Mr.-Ripley,-The","Dec 24, 1999",40000000,81292135,128792135
280,The Last of the Mohicans,"Last-of-the-Mohicans,-The","Sep 25, 1992",40000000,75505856,75505856
281,JFK,JFK,"Dec 20, 1991",40000000,70405498,205400000
282,17 Again,17-Again,"Apr 17, 2009",40000000,64167069,139474906
283,Unknown,Unknown,"Feb 18, 2011",40000000,63686397,136123083
284,Gothika,Gothika,"Nov 21, 2003",40000000,59588068,141484812
285,The Lincoln Lawyer,"Lincoln-Lawyer,-The","Mar 18, 2011",40000000,58009200,87145086
286,The Prestige,"Prestige,-The","Oct 20, 2006",40000000,53089891,104407366
287,Autumn in New York,Autumn-in-New-York,"Aug 11, 2000",40000000,37752931,90717684
288,Paul,Paul,"Mar 18, 2011",40000000,37412945,101162106
289,Colombiana,Colombiana,"Aug 26, 2011",40000000,36665854,72295262
290,8MM,8MM,"Feb 26, 1999",40000000,36443442,96398826
291,The Doors,"Doors,-The","Mar 1, 1991",40000000,34416893,34416893
292,Arthur,Arthur,"Apr 8, 2011",40000000,33035397,47787943
293,The Other Boleyn Girl,"Other-Boleyn-Girl,-The","Feb 29, 2008",40000000,26814957,78269970
294,At First Sight,At-First-Sight,"Jan 15, 1999",40000000,22365133,22365133
295,Get Carter,Get-Carter,"Oct 6, 2000",40000000,14967182,19417182
296,Amelia,Amelia,"Oct 23, 2009",40000000,14279575,19756077
297,Cirque du Freak: The Vampire's Assistant,Cirque-du-Freak-The-Vampire's-Assistant,"Oct 23, 2009",40000000,14046595,39753957
298,New York Minute,New-York-Minute,"May 7, 2004",40000000,14018364,21215882
299,Pandorum,Pandorum,"Sep 25, 2009",40000000,10330853,17033431
300,The Hudsucker Proxy,"Hudsucker-Proxy,-The","Mar 11, 1994",40000000,2816518,14938149
301,The Crow,"Crow,-The","Dec 31, 2018",40000000,0,0
302,Frankenweenie,Frankenweenie,"Oct 5, 2012",39000000,35287788,81150788
303,Serenity,Serenity,"Sep 30, 2005",39000000,25514517,40319440
304,The Ugly Truth,"Ugly-Truth,-The","Jul 24, 2009",38000000,88915214,205298907
