title,imdb_rating,Processed Title,Success_x,n_unique_words_char_1,n_unique_words_char_2,n_unique_words_char_3,n_unique_words_char_4,n_unique_words_char_5,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,tot_sents,tot_pass_sents,passive_ratio_x,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_coref_sents,pct_coref_sents_x,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,fillers_per_sent_char_1,fillers_per_sent_char_2,fillers_per_sent_char_3,fillers_per_sent_char_4,fillers_per_sent_char_5,feels_per_sent_char_1,feels_per_sent_char_2,feels_per_sent_char_3,feels_per_sent_char_4,feels_per_sent_char_5,hw_per_sent_char_1,hw_per_sent_char_2,hw_per_sent_char_3,hw_per_sent_char_4,hw_per_sent_char_5,tot_feel_sents,tot_fill_sents,tot_hw_sents,feel_ratio,fill_ratio,hw_ratio,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean,passive_ratio_y,pct_coref_sents_y,tot_unique_per_sent,tot_stop_per_sent,std_of_overall_polarity,wav_polarity,avg_FK,sign_check_char_mention_polairty,std_of_char_mention_polarity,avg_sim_score,Success_y
War for the Planet of the Apes,7.5,War-for-the-Planet-of-the-Apes,1,281,462,107,142,152,0,3,-2,1,2,109,123,45,65,63,-0.9854,-0.9948,-0.9993,-0.9532,0.9195,543,12,0.02209944751381216,5,6,0,1,0,165,186,102,48,42,"{'neg': 0.144, 'neu': 0.747, 'pos': 0.109, 'compound': -0.9854}","{'neg': 0.145, 'neu': 0.735, 'pos': 0.121, 'compound': -0.9948}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.1, 'neu': 0.849, 'pos': 0.051, 'compound': -0.9532}","{'neg': 0.092, 'neu': 0.781, 'pos': 0.127, 'compound': 0.9195}",0.14400000000000002,0.145,0.0,0.1,0.092,0.109,0.121,0.0,0.051,0.127,-0.9854,-0.9948,0.0,-0.9532,0.9195,9,0.016574585635359115,2,1,0,5,1,74,51,35,14,12,3,8,1,4,7,35,55,4,16,12,23,186,122,0.0423572744014733,0.3425414364640884,0.2246777163904236,27.38130607879256,-1.7863095981187522,0.8,-1.779208865424237,-0.7094099495472512,-0.9393973293108582,0.02209944751381216,0.016574585635359115,2.1068139963167587,0.7458563535911602,0.7612406100570305,-0.8410441988950277,0.8,0,0.7620435746071218,0.2548664229911469,1
Eight Legged Freaks,5.4,Eight-Legged-Freaks,1,391,340,325,190,300,1,1,2,0,2,112,109,104,70,89,0.785,-0.9662,-0.9922,0.8568,-0.9792,699,17,0.024320457796852647,2,7,6,0,2,194,163,166,83,93,"{'neg': 0.082, 'neu': 0.833, 'pos': 0.085, 'compound': 0.9598}","{'neg': 0.101, 'neu': 0.809, 'pos': 0.09, 'compound': -0.9898}","{'neg': 0.101, 'neu': 0.85, 'pos': 0.049, 'compound': -0.9922}","{'neg': 0.109, 'neu': 0.755, 'pos': 0.137, 'compound': 0.8568}","{'neg': 0.133, 'neu': 0.762, 'pos': 0.105, 'compound': -0.994}",0.08199999999999999,0.101,0.101,0.109,0.133,0.085,0.09,0.049,0.13699999999999998,0.105,0.9598,-0.9898,-0.9922,0.8568,-0.994,30,0.04291845493562232,17,7,1,1,4,14,23,7,11,16,5,10,2,1,4,28,51,23,17,29,22,71,148,0.031473533619456366,0.10157367668097282,0.2117310443490701,26.928389290267745,-1.1333400976609505,1.2,-0.7168320179140785,-0.6414423214764797,-0.605546824546441,0.024320457796852647,0.04291845493562232,2.21173104434907,0.6924177396280401,0.8821958548984459,-0.2716123032904149,1.2,0,0.9315236430708564,0.2651734323996035,1
Logan,8.1,Logan,1,508,400,371,265,241,0,2,2,2,2,141,118,106,95,83,-0.9864,0.9775,-0.9813,-0.9638,0.5188,923,26,0.028169014084507043,9,1,4,7,5,424,190,134,100,75,"{'neg': 0.125, 'neu': 0.756, 'pos': 0.119, 'compound': -0.9981}","{'neg': 0.12, 'neu': 0.734, 'pos': 0.146, 'compound': 0.9938}","{'neg': 0.142, 'neu': 0.743, 'pos': 0.116, 'compound': -0.9986}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.117, 'neu': 0.773, 'pos': 0.11, 'compound': 0.6741}",0.125,0.12,0.142,0.0,0.117,0.119,0.146,0.116,0.0,0.11,-0.9981,0.9938,-0.9986,0.0,0.6741,44,0.047670639219934995,14,21,5,0,4,33,32,5,5,3,7,2,2,1,6,51,34,29,20,30,18,78,164,0.01950162513542795,0.08450704225352113,0.17768147345612134,40.029599626109984,-0.7467561645540927,1.6,0.07658866566945764,0.4913514797030455,-0.4624680367902623,0.028169014084507043,0.047670639219935,1.933911159263272,0.5882990249187432,0.8576182101611416,-0.4566335861321777,1.6,0,0.8262969117696134,0.25489830544742603,1
Vanilla Sky,6.9,Vanilla-Sky,1,1246,585,443,511,386,2,2,2,3,4,160,118,106,117,105,0.9999,0.9998,0.9815,0.9751,0.9992,1608,57,0.03544776119402985,32,6,7,5,7,819,277,190,204,118,"{'neg': 0.118, 'neu': 0.709, 'pos': 0.173, 'compound': 1.0}","{'neg': 0.084, 'neu': 0.708, 'pos': 0.208, 'compound': 0.9999}","{'neg': 0.141, 'neu': 0.7, 'pos': 0.159, 'compound': 0.9948}","{'neg': 0.097, 'neu': 0.801, 'pos': 0.103, 'compound': 0.9937}","{'neg': 0.046, 'neu': 0.785, 'pos': 0.169, 'compound': 0.9999}",0.118,0.084,0.141,0.097,0.046,0.173,0.208,0.159,0.103,0.16899999999999998,1.0,0.9999,0.9948,0.9937,0.9999,157,0.09763681592039801,51,24,25,32,25,51,18,13,9,11,26,5,1,4,2,148,67,33,26,25,38,102,299,0.0236318407960199,0.06343283582089553,0.1859452736318408,49.562822107695034,1.506151042249318,2.6,0.9238005820383184,0.24213684344355,0.2052329727385719,0.03544776119402985,0.097636815920398,1.9720149253731345,0.376865671641791,0.010648004507887856,0.9945110074626864,2.6,1,0.0028061361335473298,0.4902251375673085,1
Hot Tub Time Machine,6.4,Hot-Tub-Time-Machine,1,1038,965,640,496,278,2,2,2,2,3,174,167,137,123,85,0.9995,-0.992,0.9998,-0.9904,0.984,1713,53,0.030939871570344425,23,12,12,3,3,651,502,291,195,74,"{'neg': 0.111, 'neu': 0.748, 'pos': 0.141, 'compound': 1.0}","{'neg': 0.145, 'neu': 0.72, 'pos': 0.135, 'compound': -0.9994}","{'neg': 0.067, 'neu': 0.747, 'pos': 0.186, 'compound': 1.0}","{'neg': 0.147, 'neu': 0.731, 'pos': 0.123, 'compound': -0.9988}","{'neg': 0.049, 'neu': 0.841, 'pos': 0.111, 'compound': 0.9955}",0.111,0.145,0.067,0.147,0.049,0.141,0.135,0.18600000000000005,0.123,0.111,1.0,-0.9994,1.0,-0.9988,0.9955,212,0.1237594862813777,93,43,45,18,13,27,15,28,2,6,12,4,10,2,2,151,113,75,50,24,30,78,413,0.017513134851138354,0.04553415061295972,0.24109748978400464,38.19754041822984,1.9057293932757344,2.2,1.9996252377448085,1.3749306446230751,1.4293514902081013,0.030939871570344425,0.1237594862813777,1.9947460595446584,0.4004670169293637,0.9727746180899252,0.18874506713368366,2.2,0,0.9786215399223545,0.34100256988092603,1
Ghost Rider,5.2,Ghost-Rider,1,798,557,378,315,284,2,2,3,3,3,139,123,99,80,78,-0.9981,-0.9605,-0.9848,-0.5263,0.9804,855,31,0.03625730994152047,16,7,4,1,3,362,245,105,75,68,"{'neg': 0.127, 'neu': 0.777, 'pos': 0.097, 'compound': -0.9998}","{'neg': 0.097, 'neu': 0.814, 'pos': 0.089, 'compound': -0.9942}","{'neg': 0.099, 'neu': 0.836, 'pos': 0.065, 'compound': -0.9957}","{'neg': 0.088, 'neu': 0.821, 'pos': 0.091, 'compound': -0.8059}","{'neg': 0.06, 'neu': 0.835, 'pos': 0.105, 'compound': 0.9804}",0.127,0.097,0.099,0.08800000000000001,0.06,0.097,0.08900000000000001,0.065,0.091,0.105,-0.9998,-0.9942,-0.9957,-0.8059,0.9804,73,0.08538011695906432,24,31,3,8,7,0,0,1,0,0,15,7,3,1,3,87,51,28,31,21,29,1,218,0.033918128654970764,0.0011695906432748536,0.2549707602339181,40.04782014656564,0.14336146293564708,2.6,-0.24615873104248925,0.03823395923123543,-0.009385208895696221,0.03625730994152047,0.08538011695906432,2.7274853801169594,0.6070175438596491,0.7599273454745527,-0.7869520467836257,2.6,0,0.775247177614985,0.24890417945252705,1
Get Carter,5.1,Get-Carter,0,503,143,127,212,158,1,0,0,2,1,138,59,52,70,58,-0.8468,-0.9796,-0.9734,-0.9955,0.6301,681,12,0.01762114537444934,4,3,1,3,1,451,59,56,64,51,"{'neg': 0.095, 'neu': 0.785, 'pos': 0.12, 'compound': -0.6671}","{'neg': 0.153, 'neu': 0.771, 'pos': 0.076, 'compound': -0.9945}","{'neg': 0.157, 'neu': 0.754, 'pos': 0.088, 'compound': -0.9927}","{'neg': 0.177, 'neu': 0.773, 'pos': 0.05, 'compound': -0.9955}","{'neg': 0.095, 'neu': 0.817, 'pos': 0.088, 'compound': 0.6301}",0.095,0.153,0.157,0.177,0.095,0.12,0.076,0.08800000000000001,0.05,0.08800000000000001,-0.6671,-0.9945,-0.9927,-0.9955,0.6301,31,0.04552129221732746,23,2,2,3,1,13,1,2,4,1,3,2,1,1,4,67,8,5,22,18,11,21,120,0.016152716593245228,0.030837004405286344,0.1762114537444934,61.94900981473953,-1.7879339003586971,0.8,-2.1557474949215085,-0.4375394372641652,-0.19220810436192465,0.01762114537444934,0.04552129221732746,1.6784140969162995,0.5535976505139499,0.6338047036745625,-0.7720859030837005,0.8,0,0.6298943708273633,0.2250972090035212,0
Pretty Woman,7.0,Pretty-Woman,1,724,686,418,259,182,1,2,2,0,3,149,148,128,83,64,0.9999,0.9998,0.99,0.9928,0.9471,1375,38,0.02763636363636364,16,10,6,2,4,573,475,177,106,44,"{'neg': 0.085, 'neu': 0.731, 'pos': 0.184, 'compound': 1.0}","{'neg': 0.078, 'neu': 0.758, 'pos': 0.163, 'compound': 0.9999}","{'neg': 0.088, 'neu': 0.79, 'pos': 0.122, 'compound': 0.9987}","{'neg': 0.097, 'neu': 0.737, 'pos': 0.166, 'compound': 0.9981}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.085,0.078,0.08800000000000001,0.097,0.0,0.184,0.163,0.122,0.166,0.0,1.0,0.9999,0.9987,0.9981,0.0,95,0.06909090909090909,26,32,35,2,0,44,37,13,5,7,23,17,5,0,3,122,120,44,18,6,48,106,310,0.03490909090909091,0.07709090909090907,0.22545454545454546,38.991571787668185,0.04103042181912591,1.6,0.4665751033630601,-0.07504542088671709,-0.30349160595006364,0.02763636363636364,0.06909090909090909,1.6501818181818182,0.416,0.01979428200263903,0.996354109090909,1.6,0,0.39967064740858815,0.2845387585761561,1
Death at a Funeral,7.4,Death-at-a-Funeral,1,734,430,477,460,338,2,2,2,2,2,142,116,116,123,100,0.9852,-0.9395,-0.9973,-0.9881,0.9954,1405,46,0.032740213523131674,20,12,1,10,3,468,288,265,228,156,"{'neg': 0.099, 'neu': 0.793, 'pos': 0.108, 'compound': 0.9989}","{'neg': 0.114, 'neu': 0.771, 'pos': 0.115, 'compound': -0.9938}","{'neg': 0.151, 'neu': 0.738, 'pos': 0.111, 'compound': -0.9998}","{'neg': 0.133, 'neu': 0.755, 'pos': 0.112, 'compound': -0.9991}","{'neg': 0.089, 'neu': 0.762, 'pos': 0.149, 'compound': 0.9994}",0.099,0.114,0.151,0.133,0.08900000000000001,0.108,0.115,0.111,0.112,0.149,0.9989,-0.9938,-0.9998,-0.9991,0.9994,140,0.099644128113879,47,12,17,42,22,48,14,17,14,2,16,7,11,7,3,109,47,48,49,42,44,95,295,0.03131672597864769,0.06761565836298933,0.2099644128113879,37.03119177571733,0.31716180260973864,2.0,0.8027703082713382,-0.3469159331698031,1.691662601094429,0.032740213523131674,0.099644128113879,1.735943060498221,0.42491103202846975,0.96298586199383,-0.1023425622775801,2.0,0,0.9781896122940584,0.4863087285328661,1
Larry Crowne,6.1,Larry-Crowne,1,662,752,423,231,284,1,2,2,2,2,125,140,98,71,89,0.9976,0.9942,0.9972,0.8686,0.9948,1111,29,0.026102610261026102,8,14,2,3,2,401,387,157,76,90,"{'neg': 0.089, 'neu': 0.796, 'pos': 0.115, 'compound': 0.9976}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.08900000000000001,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.9976,0.0,0.0,0.0,0.0,2,0.0018001800180018,2,0,0,0,0,14,20,8,3,6,5,10,3,0,3,56,60,35,14,32,21,51,197,0.018901890189018902,0.045904590459045914,0.1773177317731773,31.927177300311627,0.17584750773454272,1.8,-0.1923674982571648,-0.4375394372641652,-0.8917044000587986,0.026102610261026102,0.0018001800180018,2.117011701170117,0.4707470747074707,0.05095701718114983,0.9873078307830782,1.8,0,0.39904,0.1871391409875142,1
Public Enemies,7.0,Public-Enemies,1,985,524,438,420,276,2,3,2,5,3,150,120,126,96,88,0.9991,-0.9896,-0.9909,-0.8613,-0.9108,1087,36,0.03311867525298988,11,12,7,5,1,518,227,173,99,70,"{'neg': 0.093, 'neu': 0.774, 'pos': 0.133, 'compound': 0.9999}","{'neg': 0.085, 'neu': 0.86, 'pos': 0.056, 'compound': -0.9993}","{'neg': 0.115, 'neu': 0.797, 'pos': 0.088, 'compound': -0.9989}","{'neg': 0.127, 'neu': 0.754, 'pos': 0.119, 'compound': -0.9529}","{'neg': 0.06, 'neu': 0.904, 'pos': 0.036, 'compound': -0.9863}",0.093,0.085,0.115,0.127,0.06,0.133,0.056,0.08800000000000001,0.119,0.036000000000000004,0.9999,-0.9993,-0.9989,-0.9529,-0.9863,90,0.0827966881324747,23,27,12,16,12,39,15,18,17,8,4,0,5,3,1,89,21,39,10,13,13,97,172,0.011959521619135235,0.08923643054277829,0.15823367065317387,45.55472783785866,0.6468951573185291,3.0,0.5741575689337092,-0.6414423214764797,0.0462565418983733,0.03311867525298988,0.0827966881324747,2.4314627414903405,0.5335786568537259,0.7764578108306979,-0.02535032198712049,3.0,0,0.7938799103138963,0.1940206948353788,1
Virtuosity,5.6,Virtuosity,0,628,570,314,206,299,3,3,3,3,5,135,136,103,78,87,-0.9997,-0.9916,-0.9458,-0.8998,-0.9184,687,33,0.0480349344978166,11,9,5,3,5,274,219,76,51,67,"{'neg': 0.169, 'neu': 0.743, 'pos': 0.088, 'compound': -1.0}","{'neg': 0.116, 'neu': 0.782, 'pos': 0.102, 'compound': -0.999}","{'neg': 0.104, 'neu': 0.806, 'pos': 0.09, 'compound': -0.9958}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.127, 'neu': 0.754, 'pos': 0.119, 'compound': -0.9184}",0.16899999999999998,0.116,0.104,0.0,0.127,0.08800000000000001,0.102,0.09,0.0,0.119,-1.0,-0.999,-0.9958,0.0,-0.9184,54,0.07860262008733625,14,28,10,0,2,21,23,5,15,2,5,5,5,4,0,66,50,21,9,18,19,66,164,0.027656477438136828,0.0960698689956332,0.23871906841339155,36.60012519997217,-0.3682937426469588,3.4,0.022797432884133155,-0.23363655305185066,-0.5499050737523715,0.0480349344978166,0.07860262008733625,2.9359534206695783,0.7845705967976708,0.03932244142979935,-0.9758101892285301,3.4,0,0.3925430809478114,0.3393545582208709,0
Gods and Monsters,7.5,Gods-and-Monsters,1,1204,564,318,210,193,2,1,1,2,2,170,142,101,78,81,0.9999,0.9994,0.9912,0.9715,0.8797,1651,39,0.023622047244094488,24,8,2,5,0,855,463,187,87,59,"{'neg': 0.109, 'neu': 0.702, 'pos': 0.189, 'compound': 1.0}","{'neg': 0.112, 'neu': 0.71, 'pos': 0.178, 'compound': 1.0}","{'neg': 0.129, 'neu': 0.709, 'pos': 0.162, 'compound': 0.9976}","{'neg': 0.085, 'neu': 0.776, 'pos': 0.139, 'compound': 0.9715}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.109,0.112,0.129,0.085,0.0,0.189,0.17800000000000002,0.162,0.139,0.0,1.0,1.0,0.9976,0.9715,0.0,88,0.05330102967898243,48,28,2,10,0,16,10,0,1,0,28,20,4,5,3,216,102,31,10,9,60,27,368,0.03634161114476075,0.016353725015142342,0.22289521502119927,56.70949902407287,0.3983769146069777,1.6,0.4665751033630601,-0.12035717293389812,-0.2955427844080537,0.023622047244094488,0.05330102967898243,1.5075711689884919,0.3464566929133858,0.04549807028874959,0.9929823743185948,1.6,0,0.3970559275467375,0.2309182341934023,1
From Here to Eternity,7.7,From-Here-to-Eternity,1,639,775,481,404,481,2,2,2,2,4,138,147,127,115,78,0.975,0.9909,0.9985,0.9949,-0.9903,1281,50,0.039032006245121,10,9,11,11,9,348,438,227,150,118,"{'neg': 0.124, 'neu': 0.76, 'pos': 0.116, 'compound': 0.9128}","{'neg': 0.106, 'neu': 0.77, 'pos': 0.124, 'compound': 0.9989}","{'neg': 0.075, 'neu': 0.79, 'pos': 0.134, 'compound': 0.9996}","{'neg': 0.086, 'neu': 0.788, 'pos': 0.127, 'compound': 0.9994}","{'neg': 0.07, 'neu': 0.894, 'pos': 0.036, 'compound': -0.9994}",0.124,0.106,0.075,0.086,0.07,0.116,0.124,0.134,0.127,0.036000000000000004,0.9128,0.9989,0.9996,0.9994,-0.9994,80,0.0624512099921936,8,18,3,12,39,56,32,17,17,0,16,6,17,7,1,67,91,92,36,19,47,122,305,0.03669008587041374,0.09523809523809523,0.2380952380952381,24.383089970031254,0.8710488664309088,2.4,0.9103527738419872,-0.7094099495472512,0.07010300652440309,0.039032006245121,0.0624512099921936,2.1701795472287277,0.4722872755659641,0.7920906463278051,0.8058964090554256,2.4,0,0.7915393094471049,0.1564832509109471,1
A Scanner Darkly,7.1,A-Scanner-Darkly,0,782,734,529,428,473,2,4,2,2,3,158,148,122,116,125,-0.998,0.9663,0.9868,-0.9992,-0.9929,1180,66,0.05593220338983052,17,23,13,5,8,401,220,236,171,152,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,34,7,3,10,7,6,6,8,4,4,112,88,62,40,72,28,61,374,0.023728813559322038,0.051694915254237285,0.3169491525423729,31.000237997360397,1.1406830382617423,2.6,1.771012498407179,0.8538454960804935,-0.9870902585629177,0.05593220338983052,0.0,2.4966101694915253,0.5669491525423729,0.9667151783229638,-0.2343315254237288,2.6,0,0.0,0.21144529413556173,0
Judge Dredd,5.5,Judge-Dredd,1,670,453,547,390,495,2,3,2,2,3,136,120,122,104,117,-0.9965,0.9801,-0.9805,-0.9969,-0.9661,922,38,0.04121475054229935,9,7,7,4,11,282,160,206,115,159,"{'neg': 0.133, 'neu': 0.761, 'pos': 0.106, 'compound': -0.9997}","{'neg': 0.063, 'neu': 0.841, 'pos': 0.096, 'compound': 0.9985}","{'neg': 0.126, 'neu': 0.762, 'pos': 0.111, 'compound': -0.9985}","{'neg': 0.163, 'neu': 0.735, 'pos': 0.102, 'compound': -0.9992}","{'neg': 0.128, 'neu': 0.747, 'pos': 0.124, 'compound': -0.9952}",0.133,0.063,0.126,0.163,0.128,0.106,0.096,0.111,0.102,0.124,-0.9997,0.9985,-0.9985,-0.9992,-0.9952,130,0.14099783080260306,36,25,18,28,23,24,13,27,16,26,1,7,5,1,2,38,30,25,23,31,16,106,147,0.01735357917570499,0.11496746203904555,0.1594360086767896,27.929820226107374,0.5039565602033884,2.4,0.8296659246640005,-0.4601953132877557,0.3721582251207805,0.04121475054229935,0.14099783080260306,2.7711496746203905,0.6496746203904555,0.7861228565561493,-0.6447216919739698,2.4,0,0.7986615438344331,0.2677604129434273,1
The Deer Hunter,8.1,"Deer-Hunter,-The",1,404,277,267,156,179,0,0,0,0,0,132,92,99,55,72,0.9987,-0.9936,-0.9745,0.7608,0.9974,1068,24,0.02247191011235955,7,1,15,0,1,418,228,216,95,111,"{'neg': 0.08, 'neu': 0.767, 'pos': 0.153, 'compound': 0.9999}","{'neg': 0.148, 'neu': 0.741, 'pos': 0.111, 'compound': -0.9996}","{'neg': 0.104, 'neu': 0.811, 'pos': 0.085, 'compound': -0.9965}","{'neg': 0.054, 'neu': 0.881, 'pos': 0.065, 'compound': 0.8736}","{'neg': 0.057, 'neu': 0.753, 'pos': 0.189, 'compound': 0.9997}",0.08,0.14800000000000002,0.104,0.054000000000000006,0.057,0.153,0.111,0.085,0.065,0.189,0.9999,-0.9996,-0.9965,0.8736,0.9997,165,0.1544943820224719,62,42,18,24,19,95,31,37,12,29,7,12,15,1,5,61,25,29,15,33,40,204,163,0.03745318352059925,0.19101123595505615,0.15262172284644196,38.605619146722155,-1.5572829822865382,0.0,-1.1606096883930055,0.6725984878917696,0.7219063729692174,0.02247191011235955,0.1544943820224719,1.2013108614232209,0.4213483146067416,0.9363199465994516,0.1530067415730337,0.0,0,0.9592422622049136,0.25351408370852363,1
The Box,5.6,"Box,-The",1,840,733,456,356,227,2,3,4,3,3,147,133,106,91,69,0.9972,0.997,0.9896,0.965,-0.8758,1112,42,0.03776978417266187,17,9,12,2,2,451,331,161,115,54,"{'neg': 0.079, 'neu': 0.815, 'pos': 0.106, 'compound': 0.9997}","{'neg': 0.056, 'neu': 0.848, 'pos': 0.096, 'compound': 0.9998}","{'neg': 0.044, 'neu': 0.884, 'pos': 0.072, 'compound': 0.9973}","{'neg': 0.019, 'neu': 0.931, 'pos': 0.051, 'compound': 0.995}","{'neg': 0.064, 'neu': 0.884, 'pos': 0.052, 'compound': -0.8758}",0.079,0.056,0.044,0.019,0.064,0.106,0.096,0.07200000000000001,0.051,0.052000000000000005,0.9997,0.9998,0.9973,0.995,-0.8758,136,0.1223021582733813,55,46,19,12,4,148,89,65,22,23,12,7,3,1,2,90,57,49,16,8,25,347,220,0.02248201438848921,0.3120503597122302,0.19784172661870505,39.00519978106185,0.5981660901201856,3.0,0.116932090258451,-0.5961305694292987,0.4039535112888202,0.03776978417266187,0.1223021582733813,2.348920863309353,0.4910071942446043,0.7452932094149255,0.901755035971223,3.0,0,0.7495020827189208,0.25263355336989146,1
Fight Club,8.8,Fight-Club,1,1319,924,385,114,105,3,2,2,2,3,175,155,103,39,40,-0.9995,0.9992,0.9858,0.9312,0.9571,1614,55,0.034076827757125165,32,14,7,2,0,872,506,174,31,31,"{'neg': 0.118, 'neu': 0.787, 'pos': 0.095, 'compound': -1.0}","{'neg': 0.101, 'neu': 0.761, 'pos': 0.138, 'compound': 0.9999}","{'neg': 0.115, 'neu': 0.725, 'pos': 0.16, 'compound': 0.9971}","{'neg': 0.062, 'neu': 0.811, 'pos': 0.128, 'compound': 0.9312}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.118,0.101,0.115,0.062,0.0,0.095,0.138,0.16,0.128,0.0,-1.0,0.9999,0.9971,0.9312,0.0,111,0.0687732342007435,96,7,7,1,0,234,74,21,9,2,31,7,6,0,0,233,109,30,6,7,44,340,385,0.027261462205700124,0.2106567534076828,0.2385377942998761,55.85180833232536,0.9798771165072092,2.4,-0.3402933884168071,0.514007355726636,-0.07297578123177566,0.034076827757125165,0.0687732342007435,1.7639405204460967,0.3172242874845105,0.7874809320866125,-0.0842021685254028,2.4,0,0.7896265968164953,0.1646845107333873,1
Megamind,7.3,Megamind,1,804,493,428,269,225,3,3,2,1,3,155,120,111,91,82,0.9994,0.9988,0.9907,0.9882,0.9969,914,32,0.0350109409190372,6,10,11,4,1,393,205,153,103,60,"{'neg': 0.127, 'neu': 0.696, 'pos': 0.176, 'compound': 0.9999}","{'neg': 0.116, 'neu': 0.701, 'pos': 0.183, 'compound': 0.9997}","{'neg': 0.106, 'neu': 0.743, 'pos': 0.15, 'compound': 0.9907}","{'neg': 0.131, 'neu': 0.673, 'pos': 0.197, 'compound': 0.9882}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.127,0.116,0.106,0.131,0.0,0.17600000000000002,0.183,0.15,0.197,0.0,0.9999,0.9997,0.9907,0.9882,0.0,29,0.03172866520787746,20,4,4,1,0,27,20,12,13,11,25,11,4,3,2,155,91,62,38,27,45,83,373,0.04923413566739606,0.09080962800875274,0.40809628008752735,43.563642655285776,-0.04018469017811312,2.4,0.2917535968107556,-0.23363655305185066,-0.6373421107144808,0.0350109409190372,0.03172866520787746,2.427789934354486,0.611597374179431,0.004515307298512472,0.9963828227571114,2.4,0,0.3978777148823493,0.2661619808687027,1
Four Rooms,6.8,Four-Rooms,1,664,392,493,300,295,2,3,4,2,3,137,108,116,97,87,-0.9985,0.988,0.9994,0.9964,0.994,950,21,0.02210526315789473,8,3,8,0,2,457,145,169,107,72,"{'neg': 0.16, 'neu': 0.694, 'pos': 0.146, 'compound': -0.9998}","{'neg': 0.136, 'neu': 0.698, 'pos': 0.166, 'compound': 0.988}","{'neg': 0.08, 'neu': 0.755, 'pos': 0.165, 'compound': 0.9994}","{'neg': 0.098, 'neu': 0.729, 'pos': 0.173, 'compound': 0.999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.16,0.136,0.08,0.098,0.0,0.146,0.166,0.165,0.173,0.0,-0.9998,0.988,0.9994,0.999,0.0,82,0.0863157894736842,14,18,37,13,0,32,12,1,3,10,9,8,7,2,1,124,58,76,22,19,27,58,299,0.02842105263157895,0.061052631578947365,0.31473684210526315,41.4428548635856,-0.16200735817397166,2.8,0.10348428206211988,0.9671248761984459,0.23702825890661164,0.022105263157894732,0.0863157894736842,2.256842105263158,0.5736842105263158,0.7971887947029862,0.03581778947368418,2.8,0,0.7979009321964726,0.215945274936012,1
